JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2460079.728733,11.897,0.009,,B,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.764  K =  9.373,0,1.080,Z,16.761,16.389,,PNV J17224490-4137160,VVS,STD,,,,
2460079.728906,9.560,0.006,,R,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.169  K =  8.411,0,1.079,Z,17.457,16.728,,PNV J17224490-4137160,VVS,STD,,,,
2460079.729144,11.331,0.006,,V,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.360  K =  8.733,0,1.079,Z,16.392,15.763,,PNV J17224490-4137160,VVS,STD,,,,
2460079.729358,11.925,0.009,,B,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.764  K =  9.373,0,1.079,Z,16.769,16.393,,PNV J17224490-4137160,VVS,STD,,,,
2460079.729543,9.561,0.006,,R,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.169  K =  8.411,0,1.079,Z,17.470,16.727,,PNV J17224490-4137160,VVS,STD,,,,
2460079.729757,11.330,0.006,,V,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.360  K =  8.733,0,1.078,Z,16.372,15.749,,PNV J17224490-4137160,VVS,STD,,,,
2460079.729971,11.896,0.009,,B,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.764  K =  9.373,0,1.078,Z,16.770,16.398,,PNV J17224490-4137160,VVS,STD,,,,
2460079.730145,9.563,0.006,,R,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.169  K =  8.411,0,1.078,Z,17.467,16.734,,PNV J17224490-4137160,VVS,STD,,,,
2460079.730370,11.325,0.006,,V,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.360  K =  8.733,0,1.078,Z,16.389,15.756,,PNV J17224490-4137160,VVS,STD,,,,
2460079.730584,11.892,0.009,,B,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.764  K =  9.373,0,1.077,Z,16.768,16.405,,PNV J17224490-4137160,VVS,STD,,,,
2460079.730770,9.556,0.006,,R,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.169  K =  8.411,0,1.077,Z,17.469,16.734,,PNV J17224490-4137160,VVS,STD,,,,
2460079.730995,11.321,0.006,,V,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.360  K =  8.733,0,1.077,Z,16.377,15.760,,PNV J17224490-4137160,VVS,STD,,,,
