JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457685.8867,7.47,0.09,,R,OCN,,91,96,X16822OP,iT9. Rc mags for comps are approximate.,0,1.35,Z,9.100,9.500,,TCP J18102829-2729590,AAVSO,STD,,,,
2457685.8871,7.84,0.06,,CV,OCN,,91,96,X16822OP,iT9. NOT unfiltered but Luminance filter with neutral colored comps.,0,1.35,Z,9.124,9.623,,TCP J18102829-2729590,AAVSO,STD,,,,
2457685.92292,7.858,0.006,,V,BHQ,,100,91,X16832BAY,,0,1.763,Z,-9.090,-10.039,,TCP J18102829-2729590,VSS,STD,,,,
2457685.92427,8.743,0.008,,B,BHQ,,100,91,X16832BAY,,0,1.780,Z,-7.921,-9.350,,TCP J18102829-2729590,VSS,STD,,,,
2457686.04306,7.9,,,Vis.,PEX,U,72,80,X16815DS,,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457686.28819,7.8,,,Vis.,PLA,,7.5,7.9,X16832GH,Binocular 20x80,,,Z,,,,TCP J18102829-2729590,REA,STD,,,,
2457686.31111,7.5,,,Vis.,BLD,,75,,C16833OA,,,,Z,,,,TCP J18102829-2729590,ASSA,STD,,,,
2457686.41279,7.7,,,Vis.,SBN,,75,79,X16863GL,,,,Z,,,,TCP J18102829-2729590,REA,STD,,,,
2457686.41358,7.7,,,Vis.,PRJA,,000-BCB-437,000-BCB-443,X16833NV,,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457686.49236,7.9,,,Vis.,SLH,,79,80,x16832baq,,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457686.5222,7.8,,,Vis.,BZX,,7.5,7.9,X16834BT,lighting storm interference,,,Z,,,,TCP J18102829-2729590,,STD,,,,
2457686.53831,7.9,,,TG,GJED,,ENSEMBLE,000-BCB-474,X16838I,,1,,Z,na,7.145,,TCP J18102829-2729590,AAVSO,STD,,,,
2457686.88470,7.916,0.005,,V,BHQ,,100,91,X16832BAY,,0,1.405,Z,-9.162,-10.069,,TCP J18102829-2729590,VSS,STD,,,,
2457686.88591,9.094,0.007,,B,BHQ,,100,91,X16832BAY,,0,1.413,Z,-8.058,-9.427,,TCP J18102829-2729590,VSS,STD,,,,
2457686.89794,7.085,0.024,,R,BHQ,,124,STAR 1,X16852EQ,,0,1.514,Z,-7.223,-10.433,,TCP J18102829-2729590,VSS,STD,,,,
2457686.89853,6.521,0.024,,I,BHQ,,124,STAR 1,X16852EQ,,0,1.520,Z,-6.532,-9.896,,TCP J18102829-2729590,VSS,STD,,,,
2457686.90556,7.8,,,Vis.,WCG,,75,79,X16833NS,,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457687.00,8.2,,,Vis.,BNK,,79,91,'',,,,Z,,,,V5855 SGR,AAVSO,STD,,,,
2457687.09722,8.2,,,Vis.,PEX,,80,86,X16815DS,,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457687.20833,8.1,,,Vis.,BLD,,79,,X16833OA,,,,Z,,,,TCP J18102829-2729590,ASSA,STD,,,,
2457687.47917,8.1,,,Vis.,PLA,,7.5,7.9,X16832GH,Binocular 20x80,,,Z,,,,TCP J18102829-2729590,REA,STD,,,,
2457687.48542,8.2,,,Vis.,SLH,,80,86,x16832baq,,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457687.53681,8.3,,,TG,GJED,,ENSEMBLE,000-BCB-439,X16851LS,,1,,Z,na,9.979,,TCP J18102829-2729590,AAVSO,STD,,,,
2457687.56944,8.4,,,Vis.,BJOD,V,79,86,X16844U,"""Clearly brighter than the field comparison star at +8.6, and enough to make me think it was on the order of at least 0.1 mag brighter, but more likely 0.2 mag.""",,,Z,,,,TCP J18102829-2729590,,STD,,,,
2457687.57500,<7.9,,,Vis.,SSHA,UV,79,,X16838AK,,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457687.98611,8.5,,,Vis.,PEX,,80,86,X16815DS,,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457688.00,8.2,,,Vis.,BNK,,79,91,'',,,,Z,,,,V5855 SGR,AAVSO,STD,,,,
2457688.01968,8.1,,,Vis.,BDJB,BUL,80,86,X16832JX,"""LX-90 8\"" SCT, 82x""",,,Z,,,,TCP J18102829-2729590,ASSAU,STD,,,,
2457688.23264,8.08,,,Vis.,DMIB,,7.9,8.6,X16832KM,Bino 25x126mm,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457688.24792,8.15,,,Vis.,DMIB,,8.0,8.6,X16832KM,Bino 25x126mm,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457688.40972,8.2,,,Vis.,PLA,,7.9,9.1,X16832GH,Maksutov 90mm,,,Z,,,,TCP J18102829-2729590,REA,STD,,,,
2457688.97834,8.3,,,Vis.,BDJB,BWL,80,86,X16832JX,"LX-90 8"" SCT 82x",,,Z,,,,TCP J18102829-2729590,ASSAU,STD,,,,
2457688.9875,8.4,,,Vis.,PEX,,80,86,X16815DT,,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457689.22778,8.18,,,Vis.,DMIB,,7.9,8.6,X16832KM,Bino 25x126mm,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457689.23542,8.18,,,Vis.,DMIB,,7.9,8.6,X16832KM,Bino 25x126mm,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457689.26389,8.1,,,Vis.,BLD,,79,,X16833OA,,,,Z,,,,TCP J18102829-2729590,ASSA,STD,,,,
2457689.27083,8.3,,,Vis.,OJR,,79,83, X16838BI,,,,Z,,,,TCP J18102829-2729590,,STD,,,,
2457689.32083,7.5,,,Vis.,PMB,,7.5,4.6,X16838KB,Binoculars,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457689.41652,7.9,,,Vis.,SBN,,75,79,X16863GL,,,,Z,,,,TCP J18102829-2729590,REA,STD,,,,
2457689.4493,8.3,,,Vis.,AAX,,83,85,X16815EF,,,,Z,,,,TCP J18102829-2729590,NEOA-JBS,STD,,,,
2457689.4986,7.43,,,Vis.,BZX,,7.2,7.5,X16834BT,,,,Z,,,,TCP J18102829-2729590,,STD,,,,
2457689.54269,8.234,0.005,,V,ELYA,,ENSEMBLE,91,X16866AHM,,0,3.317,Z,,9.074,,TCP J18102829-2729590,AAVSO,STD,1,,,
2457689.95347,8.1,,,Vis.,SANG,UL,7.9,8.6,x16891pi,sky hazy and star low. stellarium was used since the aavso chart has no nearby comparison stars. i corrected this after finally generating an aavso chart which shows exactly the same starss' magnitudes.,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457689.96972,8.0,,,Vis.,BDJB,BUL,79,80,X16832JX,"""LX-90 8\"" SCT, 82x""",,,Z,,,,TCP J18102829-2729590,ASSAU,STD,,,,
2457690.21181,7.9,,,Vis.,BLD,,79,,X16838LO,,,,Z,,,,TCP J18102829-2729590,ASSA,STD,,,,
2457690.23750,8.1,,,Vis.,TUO,WL,7.9,8.6,X16838CN,"Schmidt-Cassegrain 8"" 81X SMA25",,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457690.25069,7.83,,,Vis.,DMIB,,7.5,7.9,X16832KM,Bino 25x126mm - Purkinje effect is important,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457690.25833,7.6,,,Vis.,DMIB,,7.5,7.9,X16832KM,Bino 25x126mm - important Purkinje effect,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457690.26042,7.55,,,Vis.,DMIB,,7.2,7.9,X16832KM,Bino 25x126mm - important Purkinje effect,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457690.37940,7.95,,,Vis.,SBN,,79,86,X16863GL,,,,Z,,,,TCP J18102829-2729590,REA,STD,,,,
2457690.4500,8.1,,,Vis.,AAX,,80,83,X16815EF,,,,Z,,,,TCP J18102829-2729590,NEOA-JBS,STD,,,,
2457690.4792,8.3,,,Vis.,MOW,,79,86,X16838KB,,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457690.4958,7.5,,,Vis.,BZX,,7.2,7.5,X16834BT,,,,Z,,,,TCP J18102829-2729590,,STD,,,,
2457690.49653,7.8,,,Vis.,WWK,B,7.5,7.9,X16833D,10x50B,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457690.50139,8.1,,,TG,GJED,,ENSEMBLE,000-BCB-474,X16871S,"""Estimated magnitude for check star was 7.214, which represents an error of +0.01mag.""",1,,Z,na,-14.239,,TCP J18102829-2729590,AAVSO,STD,,,,
2457690.95625,8.1,,,Vis.,SANG,,7.9,8.6,x16891pi,,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457690.99861,8.2,,,Vis.,PEX,,80,86,X16815DS,,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457691.23611,7.4,,,Vis.,CKLA,,72,75,x16871qa,,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457691.24167,8.02,,,Vis.,DMIB,,7.9,8.6,X16832KM,Bino 25x126mm,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457691.25069,7.80,,,Vis.,DMIB,,7.5,7.9,X16832KM,Bino 25x126mm,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457691.25208,7.77,,,Vis.,DMIB,,7.5,7.9,X16832KM,Bino 25x126mm,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457691.25903,7.70,,,Vis.,DMIB,,7.5,7.9,X16832KM,Bino 25x126mm,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457691.2694,8.2,,,Vis.,LCR,,79,"""86,89""",X16832KM,,,,Z,,,,TCP J18102829-2729590,AASABADELL,STD,,,,
2457691.27431,7.7,,,Vis.,AJV,,75,79,x16871sy,,,,Z,,,,TCP J18102829-2729590,AASABADELL,STD,,,,
2457691.43750,8.2,,,Vis.,PMB,,7.5,8.0,X16838KB,Seen with Binoculars under excellent skies at the Eldorado Star Party.  Was able to show it to others.,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457691.55278,8.3,,,Vis.,LMTA,,79,86,X23188QY,,,,Z,,,,V5855 SGR,AAVSO,STD,,,,
2457691.56544,7.748,.1,,V,MCHC,,HD 166022,HD 166196,X16871XL,,0,,Z,10.518,9.122,,TCP J18102829-2729590,,STD,,,,
2457691.57300,7.8,,,Vis.,MKK,,75,79,X16844AD,Brighter than expected!  No color.,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457691.95347,8.0,,,Vis.,SANG,,7.9,8.6,x16891pi,,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457692.21181,8.1,,,Vis.,BLD,,79,,X16838LO,,,,Z,,,,TCP J18102829-2729590,ASSA,STD,,,,
2457692.23025,7.804,0.06,,CV,LPAD,B,000-BCB-535,000-BCB-474,X16889D,Error 0.06 is the standard deviation from 50 measures.,0,5.3,Z,9.124,7.204,,TCP J18102829-2729590,AAVSO,STD,,,,
2457692.24653,7.77,,,Vis.,DMIB,,7.5,7.9,X16832KM,Bino 25x126mm,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457692.24654,8.64,0.083,,TB,LPAD,B,000-BCB-489,000-BCB-474,X16892BN,"""Created with PRISM V10.1.18 and C-Munipack 2.1.14, SCOPE TAKAHASHI FSQ106 and CCD QSI583WS""",0,5.4,Z,10.707,7.204,,TCP J18102829-2729590,AAVSO,STD,,,,
2457692.24861,7.68,,,Vis.,DMIB,,7.2,8.0,X16832KM,Bino 25x126mm,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457692.26111,7.80,,,Vis.,DMIB,,7.5,7.9,X16832KM,Bino 25x126mm,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
